Date,Open_USD_RUB,High_USD_RUB,Low_USD_RUB,Close_USD_RUB,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2024-10-03,94.4946289062,96.014755249,94.4766387939,94.4925079346,0,0.0,0.0,RUB=X,,,RUB
2024-10-06,94.7957992554,96.5037841797,94.7306137085,94.7966690063,0,0.0,0.0,RUB=X,,,RUB
2024-10-07,96.1963653564,96.8069839478,96.0709228516,96.1963653564,0,0.0,0.0,RUB=X,,,RUB
2024-10-08,96.7490158081,100.1028594971,96.4796447754,96.7446136475,0,0.0,0.0,RUB=X,,,RUB
2024-10-09,96.9949951172,97.6137542725,96.57862854,97.0003204346,0,0.0,0.0,RUB=X,,,RUB
2024-10-10,96.593711853,96.9543075562,95.784072876,96.5954208374,0,0.0,0.0,RUB=X,,,RUB
2024-10-13,95.8999404907,96.4512176514,95.3208618164,95.8823852539,0,0.0,0.0,RUB=X,,,RUB
2024-10-14,95.5972442627,99.120475769,94.4720306396,95.5906295776,0,0.0,0.0,RUB=X,,,RUB
2024-10-15,96.9958572388,97.6704559326,96.6999969482,96.994972229,0,0.0,0.0,RUB=X,,,RUB
2024-10-16,97.497718811,97.7079925537,96.9453887939,97.4968261719,0,0.0,0.0,RUB=X,,,RUB
2024-10-17,97.3953704834,97.4061508179,95.2397079468,97.3949584961,0,0.0,0.0,RUB=X,,,RUB
2024-10-20,94.953742981,97.5607299805,94.9445724487,94.9533081055,0,0.0,0.0,RUB=X,,,RUB
2024-10-21,96.7981262207,97.1003723145,95.7436447144,96.7945556641,0,0.0,0.0,RUB=X,,,RUB
2024-10-22,95.7445678711,96.8748931885,95.7232666016,95.742767334,0,0.0,0.0,RUB=X,,,RUB
2024-10-23,95.9543991089,97.1544036865,95.8263931274,95.9508361816,0,0.0,0.0,RUB=X,,,RUB
2024-10-24,96.2454376221,97.3525772095,96.2222747803,96.2445755005,0,0.0,0.0,RUB=X,,,RUB
2024-10-28,97.241569519,98.0026779175,96.9931640625,97.2433700562,0,0.0,0.0,RUB=X,,,RUB
2024-10-29,97.2476806641,98.0008392334,96.2493896484,97.2445526123,0,0.0,0.0,RUB=X,,,RUB
2024-10-30,97.49634552,97.5026550293,96.6449813843,97.4954452515,0,0.0,0.0,RUB=X,,,RUB
2024-10-31,97.0244216919,97.386100769,96.9993972778,97.0190582275,0,0.0,0.0,RUB=X,,,RUB
2024-11-01,97.37134552,98.248588562,96.990486145,97.3731384277,0,0.0,0.0,RUB=X,,,RUB
2024-11-04,97.0217514038,99.065864563,96.7459411621,97.0213088989,0,0.0,0.0,RUB=X,,,RUB
2024-11-05,98.9953918457,99.0063018799,97.2950210571,98.9954452515,0,0.0,0.0,RUB=X,,,RUB
2024-11-06,97.7847518921,100.4047241211,95.8667907715,97.7958755493,0,0.0,0.0,RUB=X,,,RUB
2024-11-07,97.2208251953,98.2553939819,96.5994415283,97.2181625366,0,0.0,0.0,RUB=X,,,RUB
2024-11-08,98.0080947876,98.1276473999,96.8828125,97.9981689453,0,0.0,0.0,RUB=X,,,RUB
2024-11-11,97.0742416382,98.6018295288,95.9922103882,97.0642700195,0,0.0,0.0,RUB=X,,,RUB
2024-11-12,95.9940567017,98.2652053833,95.9746704102,95.9945068359,0,0.0,0.0,RUB=X,,,RUB
2024-11-13,98.243888855,98.6985473633,97.7222900391,98.2466812134,0,0.0,0.0,RUB=X,,,RUB
2024-11-14,98.4943389893,100.7548446655,98.472869873,98.4944000244,0,0.0,0.0,RUB=X,,,RUB
2024-11-15,99.5935516357,100.3999786377,98.9835891724,99.5784225464,0,0.0,0.0,RUB=X,,,RUB
2024-11-18,99.96459198,100.5529327393,99.6212081909,99.9816741943,0,0.0,0.0,RUB=X,,,RUB
2024-11-19,99.7434539795,101.085105896,99.7246246338,99.7458114624,0,0.0,0.0,RUB=X,,,RUB
2024-11-20,100.5645675659,100.7673034668,99.7161331177,100.5726470947,0,0.0,0.0,RUB=X,,,RUB
2024-11-21,100.5953063965,101.4471435547,99.9967727661,100.5971374512,0,0.0,0.0,RUB=X,,,RUB
2024-11-22,101.295753479,103.7476882935,101.2730026245,101.296661377,0,0.0,0.0,RUB=X,,,RUB
2024-11-25,103.7062454224,104.3000030518,103.4927215576,103.7042694092,0,0.0,0.0,RUB=X,,,RUB
2024-11-26,104.0007095337,107.9441680908,103.9469833374,104.0101470947,0,0.0,0.0,RUB=X,,,RUB
2024-11-27,105.4937210083,114.7425460815,105.4700622559,105.4927062988,0,0.0,0.0,RUB=X,,,RUB
2024-11-28,113.1581192017,113.1581192017,107.4896774292,113.1410217285,0,0.0,0.0,RUB=X,,,RUB
2024-11-29,107.9957962036,109.74269104,104.4848937988,107.9937896729,0,0.0,0.0,RUB=X,,,RUB
2024-12-02,106.5101089478,108.505569458,105.7321548462,106.503036499,0,0.0,0.0,RUB=X,,,RUB
2024-12-03,106.4922485352,107.4972839355,105.4651870728,106.4850769043,0,0.0,0.0,RUB=X,,,RUB
2024-12-04,104.9999542236,106.0047912598,103.9873428345,104.9954299927,0,0.0,0.0,RUB=X,,,RUB
