date,year,month,period,indicator,value,unit
2002-02-01,2002,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),1124.2,386 миллиард рублей
2002-03-01,2002,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),1165.0,386 миллиард рублей
2002-04-01,2002,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),1224.9,386 миллиард рублей
2002-05-01,2002,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),1247.1,386 миллиард рублей
2002-06-01,2002,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),1305.4,386 миллиард рублей
2002-07-01,2002,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),1340.9,386 миллиард рублей
2002-08-01,2002,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),1377.7,386 миллиард рублей
2002-09-01,2002,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),1425.9,386 миллиард рублей
2002-10-01,2002,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),1453.8,386 миллиард рублей
2002-11-01,2002,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),1452.9,386 миллиард рублей
2002-12-01,2002,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),1154.4,386 миллиард рублей
2003-01-01,2003,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),1095.1,386 миллиард рублей
2003-02-01,2003,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),1124.2,386 миллиард рублей
2003-03-01,2003,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),1165.0,386 миллиард рублей
2003-04-01,2003,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),1224.9,386 миллиард рублей
2003-05-01,2003,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),1247.1,386 миллиард рублей
2003-06-01,2003,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),1305.4,386 миллиард рублей
2003-07-01,2003,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),1340.9,386 миллиард рублей
2003-08-01,2003,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),1377.7,386 миллиард рублей
2003-09-01,2003,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),1425.9,386 миллиард рублей
2003-10-01,2003,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),1453.8,386 миллиард рублей
2003-11-01,2003,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),1452.9,386 миллиард рублей
