BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,RGBITR,2017-03-01,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.89,418.73,418.93,417.91,18779218196.0,1715.0,8.44,2,3221035319947.71,RUB,,3,,2017-03-01,
SNDX,RGBITR,2017-03-02,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.12,419.07,419.13,418.12,11688125466.0,1714.0,8.51,2,3215128132668.84,RUB,,3,,2017-03-02,
SNDX,RGBITR,2017-03-03,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.92,418.31,418.92,418.25,19947518777.0,1713.0,8.46,2,3221275883876.28,RUB,,3,,2017-03-03,
SNDX,RGBITR,2017-03-06,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.05,419.4,420.18,419.16,6186474707.0,1712.0,8.42,2,3229963385214.1,RUB,,3,,2017-03-06,
SNDX,RGBITR,2017-03-07,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.52,420.22,420.52,419.64,2965147804.0,1711.0,8.39,2,3233574466685.75,RUB,,3,,2017-03-07,
SNDX,RGBITR,2017-03-09,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.19,420.43,420.52,419.37,12228105145.0,1708.0,8.42,2,3231057425979.8,RUB,,3,,2017-03-09,
SNDX,RGBITR,2017-03-10,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,421.28,420.32,421.35,420.16,13464663747.0,1710.0,8.37,2,3239442830904.54,RUB,,3,,2017-03-10,
SNDX,RGBITR,2017-03-13,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,421.99,421.6,422.06,420.98,10791639931.0,1708.0,8.34,2,3244901412714.84,RUB,,3,,2017-03-13,
SNDX,RGBITR,2017-03-14,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,422.32,422.08,422.37,421.98,9749864575.0,1707.0,8.33,2,3247430563275.79,RUB,,3,,2017-03-14,
SNDX,RGBITR,2017-03-15,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,423.34,422.39,423.35,422.03,13693198140.0,1708.0,8.28,2,3255276640015.98,RUB,,3,,2017-03-15,
SNDX,RGBITR,2017-03-16,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,424.53,423.61,424.53,423.61,51053176183.0,1710.0,8.22,2,3258789700252.82,RUB,,3,,2017-03-16,
SNDX,RGBITR,2017-03-17,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,424.94,424.65,424.94,424.22,25357955183.0,1710.0,8.21,2,3261910437648.59,RUB,,3,,2017-03-17,
SNDX,RGBITR,2017-03-20,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,425.71,425.27,425.98,425.27,12300723652.0,1708.0,8.18,2,3267784710119.69,RUB,,3,,2017-03-20,
SNDX,RGBITR,2017-03-21,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,425.83,425.78,425.99,425.5,19280601469.0,1708.0,8.19,2,3268718989491.5,RUB,,3,,2017-03-21,
SNDX,RGBITR,2017-03-22,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,425.01,425.93,426.03,424.99,14709062575.0,1704.0,8.22,2,3262456021462.38,RUB,,3,,2017-03-22,
SNDX,RGBITR,2017-03-23,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,425.43,425.09,425.66,425.09,16835740907.0,1704.0,8.21,2,3265645843578.89,RUB,,3,,2017-03-23,
SNDX,RGBITR,2017-03-24,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,426.09,425.47,426.28,425.45,16408889401.0,1705.0,8.19,2,3270733702894.05,RUB,,3,,2017-03-24,
SNDX,RGBITR,2017-03-27,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,426.36,426.3,426.37,425.24,16016752898.0,1702.0,8.19,2,3272823081026.93,RUB,,3,,2017-03-27,
SNDX,RGBITR,2017-03-28,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,426.49,426.41,426.64,426.16,8806466487.0,1702.0,8.19,2,3273794571461.87,RUB,,3,,2017-03-28,
SNDX,RGBITR,2017-03-29,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,426.46,426.64,427.18,426.37,8393636933.0,1707.0,8.19,2,3263942569177.17,RUB,,3,,2017-03-29,
SNDX,RGBITR,2017-03-30,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,427.61,426.72,427.61,426.72,15421892987.0,1708.0,8.13,2,3272780966417.3,RUB,,3,,2017-03-30,
