BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,WAPRICE
CETS,2015-01-22,CNYRUB_TOM,CNYRUB_TOM,10.512,10.347,10.5685,10.3747,1188,10.5311
CETS,2015-01-23,CNYRUB_TOM,CNYRUB_TOM,10.12,10.12,10.344,10.278,1234,10.204
CETS,2015-01-26,CNYRUB_TOM,CNYRUB_TOM,10.4485,10.4421,10.5367,10.5367,1235,10.4974
CETS,2015-01-27,CNYRUB_TOM,CNYRUB_TOM,10.7,10.5001,10.9137,10.5401,1217,10.8481
CETS,2015-01-28,CNYRUB_TOM,CNYRUB_TOM,10.7019,10.6902,10.8669,10.8669,1269,10.7691
CETS,2015-01-29,CNYRUB_TOM,CNYRUB_TOM,11.1516,10.9011,11.7451,11.2,1209,11.0253
CETS,2015-01-30,CNYRUB_TOM,CNYRUB_TOM,11.023,10.9978,11.4326,11.22,1244,11.0748
CETS,2015-02-02,CNYRUB_TOM,CNYRUB_TOM,11.0881,10.93,11.2843,10.95,1271,11.158
CETS,2015-02-03,CNYRUB_TOM,CNYRUB_TOM,10.77,10.4938,11.0152,10.6,1265,10.725
CETS,2015-02-04,CNYRUB_TOM,CNYRUB_TOM,10.373,10.3349,11.0418,11.0418,1218,10.5236
CETS,2015-02-05,CNYRUB_TOM,CNYRUB_TOM,10.98,10.6,11.1496,11.028,1243,10.9176
CETS,2015-02-06,CNYRUB_TOM,CNYRUB_TOM,10.5916,10.5123,10.9802,10.9802,1210,10.571
CETS,2015-02-09,CNYRUB_TOM,CNYRUB_TOM,10.615,10.42,10.9399,10.5049,1243,10.4983
CETS,2015-02-10,CNYRUB_TOM,CNYRUB_TOM,10.45,10.4169,10.75,10.75,1244,10.514
CETS,2015-02-11,CNYRUB_TOM,CNYRUB_TOM,10.565,10.5,10.6466,10.5,1231,10.5932
CETS,2015-02-12,CNYRUB_TOM,CNYRUB_TOM,10.4641,10.3476,10.7397,10.71,1213,10.5502
CETS,2015-02-13,CNYRUB_TOM,CNYRUB_TOM,10.37,10.1474,10.5136,10.2118,1241,10.4111
CETS,2015-02-16,CNYRUB_TOM,CNYRUB_TOM,10.1454,9.8955,10.3831,9.92,1224,9.9978
CETS,2015-02-17,CNYRUB_TOM,CNYRUB_TOM,9.3499,9.3499,10.4997,10.0823,1191,9.9928
CETS,2015-02-18,CNYRUB_TOM,CNYRUB_TOM,10.32,9.72,10.32,10.0,1232,9.9692
CETS,2015-02-19,CNYRUB_TOM,CNYRUB_TOM,9.905,9.8475,9.9999,9.9999,1206,9.906
CETS,2015-02-20,CNYRUB_TOM,CNYRUB_TOM,9.833,9.7951,9.9206,9.82,1191,9.8527
CETS,2015-02-24,CNYRUB_TOM,CNYRUB_TOM,10.0012,10.0,10.1609,10.0,1208,10.0743
CETS,2015-02-25,CNYRUB_TOM,CNYRUB_TOM,10.0119,9.8443,10.0119,9.92,1245,9.961
CETS,2015-02-26,CNYRUB_TOM,CNYRUB_TOM,9.6871,9.5438,9.71,9.71,1225,9.659
CETS,2015-02-27,CNYRUB_TOM,CNYRUB_TOM,9.7941,9.6808,9.83,9.83,1244,9.745
CETS,2015-03-02,CNYRUB_TOM,CNYRUB_TOM,9.8717,9.7606,10.039,9.88,433,9.911
CETS,2015-03-03,CNYRUB_TOM,CNYRUB_TOM,9.939,9.8798,9.9467,9.9262,277,9.9241
CETS,2015-03-04,CNYRUB_TOM,CNYRUB_TOM,9.88,9.73,9.88,9.86,229,9.8447
CETS,2015-03-05,CNYRUB_TOM,CNYRUB_TOM,9.88,9.68,9.88,9.68,256,9.8396
CETS,2015-03-06,CNYRUB_TOM,CNYRUB_TOM,9.593,9.4527,9.6116,9.5,237,9.5345
CETS,2015-03-10,CNYRUB_TOM,CNYRUB_TOM,9.69,9.59,9.9076,9.83,289,9.658
CETS,2015-03-11,CNYRUB_TOM,CNYRUB_TOM,9.9309,9.8912,10.0555,9.8912,282,10.0068
CETS,2015-03-12,CNYRUB_TOM,CNYRUB_TOM,9.7508,9.6412,9.765,9.765,272,9.7136
CETS,2015-03-13,CNYRUB_TOM,CNYRUB_TOM,9.8152,9.68,9.8152,9.81,277,9.7699
CETS,2015-03-16,CNYRUB_TOM,CNYRUB_TOM,9.9374,9.8689,9.9852,9.9785,344,9.9036
CETS,2015-03-17,CNYRUB_TOM,CNYRUB_TOM,9.906,9.8,9.9211,9.809,261,9.8632
CETS,2015-03-18,CNYRUB_TOM,CNYRUB_TOM,9.812,9.52,9.863,9.52,288,9.817
CETS,2016-01-04,CNYRUB_TOM,CNYRUB_TOM,11.09,11.025,11.6452,11.0461,214,11.0961
CETS,2016-01-05,CNYRUB_TOM,CNYRUB_TOM,11.0461,11.0253,11.0784,11.0602,207,11.0557
CETS,2016-01-06,CNYRUB_TOM,CNYRUB_TOM,10.985,10.985,11.176,11.13,224,11.0383
CETS,2016-01-11,CNYRUB_TOM,CNYRUB_TOM,11.5001,11.372,11.608,11.608,344,11.4369
CETS,2016-01-12,CNYRUB_TOM,CNYRUB_TOM,11.6821,11.5611,11.75,11.7409,156,11.6482
CETS,2016-01-13,CNYRUB_TOM,CNYRUB_TOM,11.66,11.5671,11.668,11.6561,285,11.6172
CETS,2016-01-14,CNYRUB_TOM,CNYRUB_TOM,11.6199,11.5204,11.6299,11.5361,281,11.5642
CETS,2016-01-15,CNYRUB_TOM,CNYRUB_TOM,11.59,11.56,11.7702,11.7481,299,11.6722
CETS,2016-01-18,CNYRUB_TOM,CNYRUB_TOM,11.9349,11.9,12.054,12.047,347,11.9529
CETS,2016-01-19,CNYRUB_TOM,CNYRUB_TOM,11.917,11.8408,11.984,11.96,374,11.8897
CETS,2016-01-20,CNYRUB_TOM,CNYRUB_TOM,12.0181,12.0175,12.412,12.3661,405,12.1055
CETS,2016-01-21,CNYRUB_TOM,CNYRUB_TOM,12.451,12.4285,13.0,12.593,351,12.7752
CETS,2016-01-22,CNYRUB_TOM,CNYRUB_TOM,12.2291,11.8041,12.315,11.846,406,12.1483
CETS,2016-01-25,CNYRUB_TOM,CNYRUB_TOM,11.6208,11.6208,12.127,12.11,360,11.9764
CETS,2016-01-26,CNYRUB_TOM,CNYRUB_TOM,12.376,11.779,12.444,11.8819,368,12.3071
CETS,2016-01-27,CNYRUB_TOM,CNYRUB_TOM,11.8701,11.6727,12.02,11.7859,338,11.9322
CETS,2016-01-28,CNYRUB_TOM,CNYRUB_TOM,11.73,11.449,11.765,11.5629,409,11.649
CETS,2016-01-29,CNYRUB_TOM,CNYRUB_TOM,11.4251,11.285,11.5609,11.435,494,11.3939
CETS,2016-02-01,CNYRUB_TOM,CNYRUB_TOM,11.4469,11.4385,11.6899,11.665,391,11.5465
CETS,2016-02-02,CNYRUB_TOM,CNYRUB_TOM,11.8191,11.7522,12.0329,12.01,402,11.7906
CETS,2016-02-03,CNYRUB_TOM,CNYRUB_TOM,12.002,11.59,12.002,11.59,441,11.8986
CETS,2016-02-04,CNYRUB_TOM,CNYRUB_TOM,11.5,11.4789,11.687,11.615,315,11.5641
CETS,2016-02-05,CNYRUB_TOM,CNYRUB_TOM,11.778,11.6466,11.8319,11.83,252,11.6824
CETS,2016-02-08,CNYRUB_TOM,CNYRUB_TOM,11.715,11.678,12.02,11.99,250,11.7378
CETS,2016-02-09,CNYRUB_TOM,CNYRUB_TOM,12.0131,11.92,12.171,12.171,270,11.97
CETS,2016-02-10,CNYRUB_TOM,CNYRUB_TOM,12.1401,11.9531,12.142,11.992,259,12.0796
CETS,2016-02-11,CNYRUB_TOM,CNYRUB_TOM,12.0641,12.0641,12.3505,12.207,257,12.1743
CETS,2016-02-12,CNYRUB_TOM,CNYRUB_TOM,12.1499,12.016,12.19,12.0281,260,12.1256
CETS,2016-02-15,CNYRUB_TOM,CNYRUB_TOM,12.0039,11.87,12.0043,11.9,321,11.9852
CETS,2016-02-16,CNYRUB_TOM,CNYRUB_TOM,11.6959,11.66,11.974,11.942,294,11.8314
CETS,2016-02-17,CNYRUB_TOM,CNYRUB_TOM,11.993,11.4699,11.993,11.53,290,11.805
CETS,2016-02-18,CNYRUB_TOM,CNYRUB_TOM,11.5499,11.4981,11.7259,11.7259,320,11.5718
CETS,2016-02-19,CNYRUB_TOM,CNYRUB_TOM,11.7289,11.6596,11.8909,11.788,264,11.6882
CETS,2016-02-20,CNYRUB_TOM,CNYRUB_TOM,11.68,11.0401,12.1596,11.7,44,11.5898
